end_month,water_level_absolute,water_level_relative,reservoir
2023-08-01,78531798,0.939436817352327,ÅRNESTØLSVATN_1_DAM
2023-09-01,64605292,0.772840956737012,ÅRNESTØLSVATN_1_DAM
2023-10-01,12026874,0.143871508369864,ÅRNESTØLSVATN_1_DAM
2023-11-01,111069572,1.32867001497107,ÅRNESTØLSVATN_1_DAM
2023-12-01,29719529,0.355519935211087,ÅRNESTØLSVATN_1_DAM
2020-02-01,4374253,0.0367000655982022,ÅRSDALSVATN
2020-03-01,95678,0.000802740233887887,ÅRSDALSVATN
2020-04-01,103911397,0.871818590808724,ÅRSDALSVATN
2020-05-01,20647400,0.173232077438667,ÅRSDALSVATN
2020-06-01,109225125,0.916400869467733,ÅRSDALSVATN
2020-07-01,66262507,0.555943689951481,ÅRSDALSVATN
2020-08-01,204101,0.00171241125939873,ÅRSDALSVATN
2020-09-01,100649094,0.844447806791153,ÅRSDALSVATN
2020-10-01,56034944,0.470134242484737,ÅRSDALSVATN
2020-11-01,119189242,1,ÅRSDALSVATN
2020-12-01,156957,0.00131687220563077,ÅRSDALSVATN
2021-01-01,148649578,1.24717277755655,ÅRSDALSVATN
2021-02-01,152910209,1.28291955242068,ÅRSDALSVATN
2021-03-01,104366640,0.875638088209337,ÅRSDALSVATN
2021-04-01,52128790,0.437361536370875,ÅRSDALSVATN
2021-05-01,43818502,0.367638062502319,ÅRSDALSVATN
2021-06-01,112078288,0.940338961128723,ÅRSDALSVATN
2021-07-01,104797678,0.879254505201065,ÅRSDALSVATN
2021-08-01,57807482,0.485005869908964,ÅRSDALSVATN
2021-09-01,68631309,0.575817983639832,ÅRSDALSVATN
2021-10-01,91506548,0.767741672524438,ÅRSDALSVATN
2021-11-01,71518285,0.600039767011858,ÅRSDALSVATN
2021-12-01,175839159,1.47529387761355,ÅRSDALSVATN
2022-01-01,3274348,0.0274718417959232,ÅRSDALSVATN
2022-02-01,63464,0.000532464163166672,ÅRSDALSVATN
2022-03-01,67960313,0.570188314478919,ÅRSDALSVATN
2022-04-01,23649723,0.198421624327471,ÅRSDALSVATN
2022-05-01,26217837,0.21996814947443,ÅRSDALSVATN
2022-06-01,95393626,0.800354330636653,ÅRSDALSVATN
